"","sex","age","race","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","two_year_recid"
"44","Female",51,"Non-White",0,0,0,7,"F",0
"45","Male",29,"Non-White",0,0,0,0,"F",1
"46","Male",25,"White",0,0,0,9,"M",1
"47","Male",35,"Non-White",1,0,4,13,"F",1
"48","Male",49,"White",0,0,0,0,"M",0
"49","Male",34,"Non-White",0,0,0,4,"M",1
"50","Male",29,"Non-White",0,0,0,0,"F",0
"51","Male",29,"White",0,0,0,1,"F",1
"52","Female",28,"Non-White",0,0,0,0,"F",0
"53","Male",48,"White",0,0,0,20,"F",1
"54","Female",63,"Non-White",0,0,0,1,"F",0
"55","Male",31,"Non-White",0,0,1,15,"F",0
"56","Male",24,"Non-White",0,0,0,2,"F",1
"57","Male",30,"Non-White",0,0,0,0,"M",0
"58","Male",49,"Non-White",0,0,0,4,"M",0
"59","Male",53,"White",0,0,0,8,"F",0
"60","Male",35,"Non-White",0,0,0,5,"F",0
"61","Male",63,"Non-White",0,0,0,10,"M",1
"62","Male",27,"Non-White",1,1,2,15,"F",1
"63","Male",38,"White",0,0,0,4,"M",1
"64","Male",22,"Non-White",0,0,1,1,"F",1
"65","Male",22,"Non-White",0,1,2,2,"F",1
"66","Male",29,"Non-White",0,0,0,4,"F",1
"67","Male",62,"Non-White",0,0,0,0,"M",0
"68","Male",27,"Non-White",0,1,0,6,"F",1
"69","Male",33,"Non-White",0,0,0,0,"M",0
"70","Female",56,"Non-White",0,0,0,0,"M",0
"71","Male",45,"Non-White",0,0,0,6,"F",1
"72","Male",22,"Non-White",0,0,0,1,"F",0
"73","Male",39,"Non-White",0,0,0,1,"M",0
"74","Male",29,"Non-White",0,0,0,5,"F",1
"75","Male",27,"White",0,0,1,1,"F",1
"76","Male",40,"Non-White",0,0,0,2,"F",0
"77","Male",22,"Non-White",0,0,0,1,"M",1
"78","Male",22,"White",0,0,0,0,"F",0
"79","Female",26,"Non-White",0,0,0,1,"F",1
"80","Male",27,"White",0,0,0,1,"F",1
"81","Male",32,"Non-White",0,0,0,0,"F",0
"82","Male",41,"Non-White",0,0,0,1,"M",0
"83","Male",30,"Non-White",0,0,0,8,"M",1
"84","Male",50,"Non-White",0,0,0,0,"F",1
"85","Male",25,"Non-White",1,6,1,14,"F",1
"86","Male",20,"Non-White",0,0,0,0,"F",1
"87","Male",22,"Non-White",1,0,0,2,"F",1
"88","Male",23,"Non-White",0,0,1,2,"M",1
"89","Female",35,"Non-White",0,0,0,1,"M",0
"90","Male",36,"Non-White",0,0,0,9,"F",1
"91","Male",26,"White",0,0,0,7,"F",1
"92","Male",21,"Non-White",0,0,0,1,"F",1
"93","Male",25,"White",0,0,0,9,"F",1
"94","Male",71,"Non-White",0,0,0,12,"M",0
"95","Female",20,"White",0,0,0,0,"F",0
"96","Male",39,"White",0,0,0,2,"F",1
"97","Male",66,"White",0,0,0,3,"F",0
"98","Female",54,"White",0,0,0,0,"M",0
"99","Female",44,"Non-White",0,0,0,0,"M",0
"100","Male",19,"Non-White",0,0,0,1,"M",1
"101","Male",24,"Non-White",0,0,0,1,"F",0
"102","Male",30,"Non-White",0,0,0,1,"F",0
"103","Female",39,"White",0,0,0,0,"F",1
"104","Male",24,"White",0,1,2,8,"F",1
"105","Male",30,"White",0,0,0,0,"F",0
"106","Male",31,"White",0,0,0,0,"M",0
"107","Female",39,"White",0,0,0,1,"F",0
"108","Male",59,"Non-White",0,0,0,14,"F",1
"109","Male",43,"White",0,0,0,1,"F",0
"110","Male",21,"Non-White",0,0,0,3,"F",1
"111","Male",38,"White",0,0,0,5,"M",1
"112","Male",34,"White",0,0,0,0,"F",0
"113","Male",33,"Non-White",0,0,0,5,"F",1
"114","Male",37,"Non-White",0,0,0,3,"F",0
"115","Male",42,"White",0,0,0,1,"F",1
"116","Male",41,"Non-White",0,1,0,10,"F",1
"117","Male",22,"Non-White",0,0,0,0,"F",1
"118","Male",33,"Non-White",0,12,2,28,"F",1
"119","Male",31,"Non-White",0,0,0,1,"M",0
"120","Female",30,"Non-White",0,0,0,1,"F",0
"121","Male",31,"White",0,0,0,13,"F",1
"122","Male",27,"Non-White",0,0,0,3,"F",1
"123","Male",56,"Non-White",0,0,0,8,"F",0
"124","Male",52,"White",0,0,0,3,"M",0
"125","Male",33,"Non-White",0,0,0,19,"F",1
"126","Female",64,"White",0,0,0,2,"M",0
"127","Male",22,"White",0,0,0,4,"F",1
"128","Male",42,"White",0,0,0,6,"F",0
"129","Female",25,"White",0,0,0,2,"F",0
"130","Male",30,"White",0,0,0,1,"M",0
"131","Male",28,"White",0,0,0,2,"F",0
"132","Female",37,"Non-White",0,0,0,2,"M",0
"133","Male",28,"White",0,0,0,0,"M",1
"134","Female",24,"Non-White",0,0,0,0,"M",0
"135","Female",29,"White",0,1,0,10,"F",1
"136","Male",44,"White",0,0,0,2,"M",1
"137","Female",30,"Non-White",0,0,0,4,"F",1
"138","Male",32,"Non-White",0,0,0,3,"F",1
"139","Male",31,"White",0,0,0,2,"M",1
"140","Male",31,"Non-White",0,0,0,1,"M",0
"141","Male",59,"White",0,0,0,1,"F",1
"142","Female",45,"White",0,0,0,4,"F",0
"143","Female",20,"Non-White",1,0,0,1,"F",0
"144","Female",43,"White",0,0,0,0,"M",0
"145","Male",38,"Non-White",1,1,0,9,"F",1
"146","Male",32,"Non-White",0,0,0,11,"F",1
"147","Male",33,"Non-White",0,0,0,8,"M",1
"148","Female",31,"Non-White",0,0,0,0,"F",1
"149","Female",33,"Non-White",0,0,0,7,"F",1
"150","Male",27,"Non-White",0,0,0,2,"F",1
"151","Female",20,"Non-White",0,0,0,0,"F",0
"152","Female",26,"White",0,0,0,0,"M",0
"153","Female",61,"Non-White",0,0,0,1,"F",1
"154","Male",52,"Non-White",0,0,0,13,"F",1
"155","Male",63,"Non-White",0,0,0,1,"F",0
"156","Female",32,"Non-White",0,0,0,4,"F",1
"157","Male",29,"Non-White",0,0,0,1,"F",0
"158","Female",46,"Non-White",0,0,0,1,"F",0
"159","Female",26,"Non-White",0,0,0,2,"M",1
"160","Male",55,"Non-White",0,0,0,3,"M",0
"161","Male",39,"White",1,0,0,1,"M",0
"162","Female",30,"White",0,0,0,3,"F",1
"163","Male",30,"Non-White",0,0,0,1,"F",0
"164","Male",48,"White",0,0,0,2,"M",0
"165","Male",22,"Non-White",0,0,0,1,"F",0
"166","Male",46,"White",0,0,0,6,"F",1
"167","Female",49,"White",0,0,0,6,"F",0
"168","Male",31,"White",0,0,0,0,"F",0
"169","Male",25,"Non-White",0,0,0,1,"M",1
"170","Male",23,"Non-White",0,0,0,0,"F",0
"171","Female",32,"Non-White",0,0,0,5,"F",0
"172","Male",52,"Non-White",0,0,0,2,"M",0
"173","Male",62,"Non-White",0,0,0,8,"F",0
"174","Female",37,"White",0,0,0,6,"F",0
"175","Male",55,"White",0,0,0,1,"F",0
"176","Male",31,"Non-White",0,0,0,8,"F",1
"177","Male",28,"Non-White",0,0,0,6,"M",1
"178","Male",54,"Non-White",0,0,0,2,"F",0
"179","Male",58,"Non-White",0,0,0,0,"F",0
"180","Male",78,"White",0,0,0,1,"M",1
"181","Male",56,"White",0,0,0,0,"F",0
"182","Male",24,"Non-White",0,0,0,0,"F",0
"183","Male",38,"Non-White",2,2,1,22,"F",1
"184","Male",22,"Non-White",0,0,0,1,"F",1
"185","Male",47,"Non-White",0,0,0,23,"M",1
"186","Male",23,"Non-White",0,0,0,0,"M",1
"187","Male",57,"Non-White",0,0,0,1,"F",0
"188","Female",38,"White",0,0,0,2,"F",1
"189","Male",66,"Non-White",0,0,0,3,"F",0
"190","Male",45,"White",0,0,0,8,"M",1
"191","Female",52,"Non-White",0,0,0,0,"M",1
"192","Male",32,"Non-White",0,0,0,13,"F",1
"193","Male",37,"Non-White",0,0,0,2,"M",1
"194","Male",39,"White",0,0,0,0,"F",1
"195","Male",26,"Non-White",0,0,0,9,"F",1
"196","Male",45,"White",0,0,0,2,"F",0
"197","Male",23,"Non-White",0,0,0,0,"F",1
"198","Male",34,"Non-White",0,0,0,2,"M",0
"199","Female",23,"Non-White",0,0,0,1,"M",0
"200","Male",36,"Non-White",0,0,0,2,"M",1
"201","Male",50,"White",0,0,0,1,"F",0
"202","Female",37,"White",0,0,0,0,"M",0
"203","Male",44,"White",0,0,0,4,"M",0
"204","Female",35,"Non-White",0,1,0,23,"F",1
"205","Male",24,"Non-White",0,0,0,5,"F",1
"206","Male",26,"Non-White",0,0,0,2,"F",1
"207","Male",27,"Non-White",0,0,0,0,"M",0
"208","Female",28,"Non-White",0,0,0,0,"F",0
"209","Male",43,"White",0,0,0,11,"F",1
"210","Female",28,"White",0,0,0,7,"F",1
"211","Male",38,"Non-White",0,0,0,2,"F",0
"212","Male",27,"White",0,0,0,2,"M",0
"213","Female",28,"Non-White",0,0,0,1,"F",0
"214","Male",56,"White",0,0,0,7,"F",1
"215","Male",38,"Non-White",0,0,0,15,"F",0
"216","Male",28,"Non-White",0,0,0,2,"M",0
"217","Male",45,"Non-White",0,0,0,3,"F",0
"218","Male",28,"Non-White",0,0,0,0,"M",0
"219","Male",61,"White",0,0,0,1,"F",0
"220","Female",51,"White",0,0,0,0,"M",1
"221","Male",51,"White",0,0,0,0,"M",0
"222","Male",36,"Non-White",0,0,0,1,"M",1
"223","Male",48,"Non-White",0,0,0,0,"F",0
"224","Male",37,"White",0,0,0,4,"F",1
"225","Female",30,"Non-White",0,0,0,2,"F",0
"226","Female",41,"Non-White",0,0,0,5,"M",0
"227","Male",27,"Non-White",0,0,0,11,"F",1
"228","Male",37,"Non-White",0,0,0,0,"M",0
"229","Male",33,"Non-White",0,0,0,4,"F",1
"230","Male",54,"Non-White",0,0,0,11,"F",0
"231","Male",23,"Non-White",0,0,0,2,"F",0
"232","Female",26,"Non-White",0,0,0,2,"F",1
"233","Male",41,"Non-White",0,0,0,0,"M",0
"234","Male",52,"White",0,0,0,0,"F",0
"235","Male",43,"White",0,0,0,13,"F",1
"236","Male",52,"Non-White",0,0,0,0,"F",0
"237","Male",28,"White",0,0,0,1,"F",0
"238","Male",30,"Non-White",0,0,2,11,"M",1
"239","Male",28,"White",0,0,0,1,"F",0
"240","Male",22,"Non-White",0,0,0,0,"F",0
"241","Male",30,"Non-White",0,0,0,4,"F",0
"242","Male",25,"Non-White",0,0,0,4,"F",0
"243","Male",31,"White",0,0,0,0,"F",1
"244","Male",37,"White",0,0,0,0,"F",1
"245","Male",32,"Non-White",0,1,0,14,"F",0
"246","Male",26,"Non-White",0,1,0,4,"M",0
"247","Male",53,"White",0,0,0,1,"M",0
"248","Male",28,"Non-White",0,0,0,25,"F",1
"249","Male",44,"White",0,0,0,8,"M",1
"250","Male",25,"Non-White",0,0,0,0,"F",0
"251","Male",22,"White",0,0,1,1,"M",1
"252","Female",37,"Non-White",0,0,0,0,"M",0
"253","Female",40,"Non-White",0,0,0,3,"F",0
"254","Male",36,"White",0,0,0,8,"F",1
"255","Male",30,"White",0,0,0,4,"F",0
"256","Male",22,"Non-White",0,0,0,3,"M",1
"257","Female",24,"White",0,0,0,1,"M",1
"258","Male",27,"Non-White",0,0,0,3,"M",1
"259","Female",31,"Non-White",0,0,0,0,"M",0
"260","Male",23,"Non-White",0,0,1,1,"F",1
"261","Female",23,"White",0,0,4,5,"F",1
"262","Male",24,"Non-White",0,0,0,0,"M",0
"263","Male",29,"Non-White",0,0,0,1,"M",0
"264","Male",20,"Non-White",0,0,0,1,"F",1
"265","Male",30,"Non-White",0,0,0,2,"F",1
"266","Male",39,"Non-White",0,0,0,0,"F",0
"267","Male",27,"Non-White",0,0,0,4,"F",0
"268","Male",31,"White",0,0,0,2,"M",0
"269","Female",37,"Non-White",0,0,0,2,"F",0
"270","Male",20,"Non-White",0,0,0,0,"F",0
"271","Male",22,"Non-White",0,0,1,0,"F",0
"272","Female",52,"Non-White",0,0,0,0,"F",0
"273","Female",23,"Non-White",0,0,0,0,"F",1
"274","Female",48,"Non-White",0,0,0,0,"F",0
"275","Male",66,"Non-White",0,0,0,8,"F",1
"276","Male",25,"White",0,0,0,0,"F",0
"277","Male",27,"White",0,0,0,0,"F",1
"278","Male",30,"Non-White",0,0,0,11,"F",1
"279","Male",22,"Non-White",0,1,1,3,"M",1
"280","Female",22,"White",0,0,0,1,"F",0
"281","Male",35,"Non-White",0,0,0,2,"F",0
"282","Male",32,"White",0,0,0,2,"F",0
"283","Female",41,"Non-White",0,0,0,2,"M",0
"284","Female",25,"Non-White",0,0,0,0,"F",0
"285","Male",44,"Non-White",0,0,0,24,"M",0
"286","Male",52,"Non-White",0,0,0,3,"F",1
"287","Male",43,"Non-White",0,0,0,0,"F",0
"288","Male",37,"White",0,0,0,3,"F",0
"289","Male",28,"Non-White",0,0,0,3,"M",1
"290","Male",70,"White",0,0,0,1,"M",0
"291","Male",54,"White",0,0,0,6,"F",1
"292","Male",46,"White",0,0,0,3,"F",0
"293","Male",21,"Non-White",0,0,0,0,"M",1
"294","Male",26,"Non-White",0,0,0,1,"M",1
"295","Male",38,"Non-White",0,0,0,3,"F",1
"296","Male",34,"White",0,0,0,5,"M",0
"297","Male",19,"Non-White",0,0,0,1,"F",1
"298","Male",34,"Non-White",0,0,0,5,"M",0
"299","Male",23,"White",0,0,0,0,"F",1
"300","Male",34,"Non-White",0,0,0,5,"F",1
"301","Male",30,"Non-White",0,0,0,2,"F",0
"302","Male",39,"Non-White",0,0,0,6,"F",1
"303","Male",24,"Non-White",0,0,0,0,"F",0
"304","Male",33,"White",0,0,0,1,"M",1
"305","Male",58,"White",0,0,0,2,"F",0
"306","Female",21,"Non-White",0,0,0,0,"M",0
"307","Male",21,"Non-White",0,0,0,1,"F",0
"308","Male",23,"Non-White",0,0,1,4,"M",1
"309","Male",62,"White",0,0,0,0,"F",0
"310","Male",27,"Non-White",1,0,1,4,"M",1
"311","Male",37,"White",0,0,0,5,"F",0
"312","Male",43,"Non-White",0,0,0,2,"F",1
"313","Female",32,"Non-White",0,0,0,5,"F",0
"314","Male",23,"Non-White",0,0,0,0,"F",0
"315","Male",27,"Non-White",0,0,0,0,"M",0
"316","Male",44,"White",0,0,0,0,"M",1
"317","Male",28,"White",0,0,0,3,"M",1
"318","Female",42,"White",0,0,0,0,"F",0
"319","Male",24,"Non-White",0,1,0,9,"F",1
"320","Male",27,"Non-White",0,0,0,0,"F",0
"321","Male",20,"Non-White",0,0,0,0,"F",1
"322","Female",51,"White",0,0,0,0,"M",0
"323","Male",56,"White",0,0,0,0,"M",0
"324","Male",29,"Non-White",0,0,0,7,"F",0
"325","Male",20,"Non-White",0,0,0,0,"F",1
"326","Male",53,"White",0,0,0,6,"F",0
"327","Male",27,"White",0,0,0,8,"F",0
"328","Male",24,"Non-White",0,1,0,2,"F",1
"329","Male",53,"White",0,0,0,36,"F",1
"330","Male",28,"White",0,0,0,2,"M",1
"331","Male",45,"Non-White",0,0,0,1,"F",0
"332","Male",21,"Non-White",0,1,0,3,"F",0
"333","Female",36,"Non-White",0,0,0,0,"F",0
"334","Female",25,"White",0,0,0,2,"M",1
"335","Female",23,"Non-White",0,0,0,1,"M",0
"336","Male",28,"White",0,0,0,1,"F",0
"337","Female",21,"Non-White",0,0,0,0,"F",1
"338","Male",36,"White",0,0,0,0,"M",0
"339","Male",24,"Non-White",0,0,0,0,"F",0
"340","Male",28,"Non-White",0,0,0,3,"F",1
"341","Male",30,"Non-White",0,0,0,1,"F",1
"342","Male",29,"Non-White",0,0,0,0,"F",0
"343","Female",30,"White",0,0,0,0,"M",0
"344","Male",51,"Non-White",0,0,0,1,"M",0
"345","Male",33,"Non-White",0,0,0,3,"F",0
"346","Female",25,"Non-White",0,0,0,2,"F",0
"347","Male",32,"Non-White",0,1,0,12,"F",1
"348","Male",23,"Non-White",0,0,1,1,"F",0
"349","Male",47,"Non-White",0,0,0,3,"F",0
"350","Female",32,"Non-White",0,0,0,1,"F",1
"351","Male",37,"White",0,0,0,0,"F",0
"352","Male",19,"Non-White",0,2,0,2,"F",1
"353","Male",27,"Non-White",0,0,0,0,"M",0
"354","Male",39,"Non-White",0,0,0,0,"M",0
"355","Female",21,"White",0,0,2,0,"F",0
"356","Male",69,"White",0,0,0,0,"M",0
"357","Male",21,"White",0,0,0,2,"F",0
"358","Male",26,"Non-White",0,0,1,6,"M",1
"359","Male",22,"White",0,0,0,0,"F",0
"360","Female",23,"Non-White",0,0,0,0,"F",1
"361","Male",49,"Non-White",0,0,0,3,"F",0
"362","Male",29,"Non-White",0,0,1,2,"M",0
"363","Female",60,"White",0,0,0,0,"M",0
"364","Female",26,"Non-White",0,0,0,0,"M",0
"365","Male",23,"Non-White",2,0,0,3,"F",1
"366","Male",34,"Non-White",0,0,0,2,"M",1
"367","Female",20,"Non-White",1,0,0,1,"F",0
"368","Male",36,"Non-White",0,0,0,1,"F",0
"369","Male",30,"White",0,0,0,0,"F",0
"370","Male",21,"Non-White",0,1,0,1,"F",0
"371","Male",22,"White",0,0,0,2,"M",1
"372","Male",57,"Non-White",0,0,0,18,"F",0
"373","Male",21,"Non-White",0,0,0,4,"F",1
"374","Male",21,"Non-White",0,0,0,0,"F",1
"375","Male",34,"White",0,0,0,1,"M",0
"376","Female",50,"White",0,0,0,1,"M",1
"377","Male",40,"White",0,0,0,0,"F",1
"378","Male",25,"Non-White",0,0,0,7,"F",1
"379","Female",53,"White",0,0,0,1,"M",0
"380","Female",24,"Non-White",0,0,0,0,"F",0
"381","Male",42,"Non-White",0,0,0,1,"F",0
"382","Male",28,"Non-White",0,0,0,1,"M",0
"383","Male",24,"White",0,0,0,1,"M",0
"384","Male",26,"Non-White",1,1,0,6,"F",1
"385","Male",22,"Non-White",0,0,0,4,"F",1
"386","Male",21,"White",0,0,0,3,"M",0
"387","Male",37,"Non-White",0,0,0,23,"F",1
"388","Male",35,"Non-White",0,0,0,2,"F",0
"389","Male",53,"Non-White",0,0,0,2,"F",0
"390","Male",60,"Non-White",0,0,0,1,"F",0
"391","Male",29,"Non-White",0,0,0,7,"F",0
"392","Male",48,"White",1,0,0,23,"F",1
"393","Female",52,"White",0,0,0,0,"M",0
"394","Male",27,"Non-White",0,0,0,12,"F",1
"395","Male",28,"Non-White",0,0,0,5,"F",0
"396","Male",33,"White",0,0,0,3,"M",0
"397","Female",28,"Non-White",0,0,0,0,"F",0
"398","Male",47,"White",0,0,0,5,"F",1
"399","Male",36,"Non-White",0,0,0,14,"F",1
"400","Male",29,"Non-White",1,0,0,2,"F",0
"401","Male",22,"Non-White",0,0,1,0,"M",1
"402","Male",26,"Non-White",0,0,2,6,"F",0
"403","Male",25,"White",0,0,0,0,"F",0
"404","Male",68,"White",0,0,0,2,"F",0
"405","Male",56,"Non-White",0,0,0,5,"F",0
"406","Male",27,"Non-White",0,0,0,9,"F",1
"407","Male",52,"White",0,0,0,4,"F",1
"408","Male",32,"Non-White",0,0,0,3,"F",0
"409","Male",60,"Non-White",0,0,0,4,"F",0
"410","Male",23,"Non-White",0,0,0,1,"M",0
"411","Female",39,"White",0,0,0,0,"M",0
"412","Male",56,"White",0,0,0,0,"M",0
"413","Female",22,"Non-White",0,0,0,0,"F",0
"414","Female",27,"Non-White",0,0,0,1,"F",1
"415","Male",53,"Non-White",0,0,0,11,"F",0
"416","Male",25,"White",0,0,0,0,"M",1
"417","Male",21,"Non-White",0,0,0,0,"M",0
"418","Male",22,"White",0,0,0,0,"F",0
"419","Female",58,"White",0,0,0,2,"M",0
"420","Male",31,"Non-White",0,0,0,7,"M",1
"421","Male",22,"White",0,0,0,1,"F",1
"422","Male",28,"Non-White",0,0,0,8,"F",1
"423","Male",42,"Non-White",0,0,0,1,"F",0
"424","Male",20,"Non-White",0,0,0,0,"F",1
"425","Male",29,"White",0,0,0,0,"M",1
"426","Male",29,"Non-White",0,0,0,8,"F",0
"427","Male",58,"Non-White",0,0,0,21,"M",1
"428","Male",22,"Non-White",0,0,0,3,"F",0
"429","Male",48,"Non-White",0,0,0,1,"M",1
"430","Male",37,"White",0,0,0,0,"F",0
"431","Male",57,"Non-White",0,0,0,1,"F",1
"432","Male",27,"White",0,0,0,3,"M",0
"433","Male",26,"Non-White",0,0,0,3,"F",0
"434","Male",24,"White",0,1,1,3,"F",1
"435","Male",33,"White",0,0,0,0,"F",0
"436","Male",29,"Non-White",0,0,0,2,"F",0
"437","Female",24,"Non-White",0,0,0,3,"F",1
"438","Male",19,"White",0,0,1,1,"F",1
"439","Male",36,"White",0,0,0,2,"M",0
"440","Female",24,"White",0,0,0,0,"F",0
"441","Male",34,"White",0,0,0,0,"M",0
"442","Male",25,"Non-White",0,0,0,2,"F",1
"443","Male",20,"Non-White",1,0,1,1,"F",1
"444","Male",28,"Non-White",0,0,0,2,"M",1
"445","Male",24,"Non-White",0,0,0,1,"M",1
"446","Male",61,"White",0,0,0,4,"F",0
"447","Female",50,"Non-White",0,0,0,3,"F",0
"448","Male",30,"Non-White",0,0,0,1,"M",0
"449","Male",38,"Non-White",0,0,0,5,"F",0
"450","Male",24,"White",0,0,0,0,"M",0
"451","Male",45,"Non-White",0,0,0,16,"F",0
"452","Female",46,"Non-White",0,0,0,2,"F",1
"453","Male",41,"White",0,0,0,0,"M",1
"454","Male",20,"Non-White",0,0,1,0,"F",1
"455","Male",27,"Non-White",0,0,0,13,"M",1
"456","Female",51,"Non-White",0,0,0,16,"F",0
"457","Male",26,"Non-White",0,0,0,1,"M",1
"458","Male",29,"Non-White",0,0,0,3,"F",1
"459","Male",52,"White",0,0,0,6,"F",1
"460","Male",28,"White",0,0,0,1,"F",1
"461","Female",34,"Non-White",0,0,0,4,"F",1
"462","Male",55,"Non-White",0,0,0,5,"F",1
"463","Male",26,"Non-White",1,1,0,10,"F",1
"464","Male",28,"Non-White",0,0,0,5,"F",0
"465","Male",63,"White",0,0,0,2,"F",0
"466","Male",42,"Non-White",0,0,0,0,"F",0
"467","Male",23,"Non-White",1,2,2,6,"F",0
"468","Male",54,"Non-White",0,0,0,28,"F",1
"469","Male",35,"Non-White",0,0,1,8,"F",1
"470","Female",24,"Non-White",1,0,0,6,"F",1
"471","Male",54,"Non-White",0,0,0,2,"M",0
"472","Male",58,"Non-White",0,0,0,12,"M",1
"473","Male",23,"White",0,0,1,1,"M",1
"474","Male",35,"Non-White",0,0,0,1,"M",0
"475","Male",20,"Non-White",0,0,0,1,"F",1
"476","Male",51,"White",0,0,0,0,"F",0
"477","Male",24,"Non-White",0,0,0,0,"F",0
"478","Male",37,"White",0,0,0,3,"F",0
"479","Male",47,"White",0,0,0,3,"F",0
"480","Male",34,"White",0,0,0,4,"F",1
"481","Male",56,"White",0,0,0,0,"F",0
"482","Male",34,"Non-White",0,0,0,4,"F",1
"483","Male",59,"White",0,0,0,1,"F",1
"484","Male",35,"Non-White",0,0,0,0,"F",0
"485","Male",58,"Non-White",0,0,0,1,"F",0
"486","Male",29,"Non-White",0,0,0,2,"M",0
"487","Female",24,"White",0,0,1,6,"F",1
"488","Male",21,"White",0,0,4,2,"M",1
"489","Male",26,"Non-White",0,0,0,2,"M",0
"490","Male",50,"Non-White",0,0,0,5,"F",1
"491","Male",26,"Non-White",0,0,0,1,"F",0
"492","Female",30,"White",0,0,0,0,"M",0
"493","Male",29,"White",0,0,0,6,"F",1
"494","Male",29,"White",0,0,0,0,"M",1
"495","Male",54,"Non-White",0,0,0,0,"M",0
"496","Male",29,"Non-White",0,0,0,4,"F",1
"497","Female",59,"White",0,0,0,0,"M",0
"498","Male",38,"Non-White",0,0,0,0,"F",0
"499","Female",22,"Non-White",0,0,0,2,"F",1
"500","Male",29,"Non-White",0,0,0,4,"F",1
"501","Male",27,"White",0,0,0,1,"M",1
"502","Male",26,"Non-White",0,0,0,7,"F",1
"503","Male",52,"Non-White",0,0,0,20,"F",0
"504","Male",66,"Non-White",0,0,0,33,"F",1
"505","Male",27,"White",0,0,0,2,"F",0
"506","Male",51,"White",0,0,0,1,"M",0
"507","Male",35,"White",0,0,0,1,"F",0
"508","Male",26,"Non-White",0,0,0,1,"F",0
"509","Male",52,"White",0,0,0,4,"M",0
"510","Female",35,"Non-White",0,0,0,12,"M",0
"511","Male",48,"Non-White",0,0,0,12,"F",0
"512","Female",26,"Non-White",0,0,0,0,"M",0
"513","Female",48,"White",0,0,0,0,"M",0
"514","Male",30,"Non-White",0,0,0,7,"M",0
"515","Male",28,"Non-White",0,0,0,2,"M",0
"516","Male",33,"Non-White",0,0,0,2,"M",0
"517","Female",34,"Non-White",0,0,0,6,"F",0
"518","Male",25,"Non-White",0,0,0,0,"M",0
"519","Male",59,"Non-White",0,0,0,10,"F",1
"520","Male",29,"Non-White",0,0,0,5,"F",1
"521","Male",24,"White",0,0,0,0,"F",0
"522","Male",48,"White",0,0,0,1,"F",1
"523","Male",55,"Non-White",0,0,0,0,"M",1
"524","Male",52,"Non-White",0,0,0,4,"M",0
"525","Male",20,"Non-White",0,0,0,0,"F",1
"526","Male",25,"White",0,0,0,4,"F",1
"527","Male",24,"White",0,0,0,0,"F",0
"528","Male",23,"White",0,0,0,0,"M",0
"529","Male",27,"White",0,1,3,6,"F",0
"530","Male",25,"Non-White",0,1,0,1,"M",1
"531","Male",31,"Non-White",0,0,0,0,"F",0
"532","Male",25,"Non-White",0,1,0,6,"F",1
"533","Male",32,"White",0,0,0,1,"F",1
"534","Male",21,"White",0,0,0,0,"F",1
"535","Male",37,"Non-White",0,0,0,1,"F",0
"536","Male",25,"White",0,0,0,0,"F",0
