"","admit","gender","dept"
"81","Admitted","Male","A"
"82","Admitted","Male","A"
"83","Admitted","Male","A"
"84","Admitted","Male","A"
"85","Admitted","Male","A"
"86","Admitted","Male","A"
"87","Admitted","Male","A"
"88","Admitted","Male","A"
"89","Admitted","Male","A"
"90","Admitted","Male","A"
"91","Admitted","Male","A"
"92","Admitted","Male","A"
"93","Admitted","Male","A"
"94","Admitted","Male","A"
"95","Admitted","Male","A"
"96","Admitted","Male","A"
"97","Admitted","Male","A"
"98","Admitted","Male","A"
"99","Admitted","Male","A"
"100","Admitted","Male","A"
"101","Admitted","Male","A"
"102","Admitted","Male","A"
"103","Admitted","Male","A"
"104","Admitted","Male","A"
"105","Admitted","Male","A"
"106","Admitted","Male","A"
"107","Admitted","Male","A"
"108","Admitted","Male","A"
"109","Admitted","Male","A"
"110","Admitted","Male","A"
"111","Admitted","Male","A"
"112","Admitted","Male","A"
"113","Admitted","Male","A"
"114","Admitted","Male","A"
"115","Admitted","Male","A"
"116","Admitted","Male","A"
"117","Admitted","Male","A"
"118","Admitted","Male","A"
"119","Admitted","Male","A"
"120","Admitted","Male","A"
"121","Admitted","Male","A"
"122","Admitted","Male","A"
"123","Admitted","Male","A"
"124","Admitted","Male","A"
"125","Admitted","Male","A"
"126","Admitted","Male","A"
"127","Admitted","Male","A"
"128","Admitted","Male","A"
"129","Admitted","Male","A"
"130","Admitted","Male","A"
"131","Admitted","Male","A"
"132","Admitted","Male","A"
"133","Admitted","Male","A"
"134","Admitted","Male","A"
"135","Admitted","Male","A"
"136","Admitted","Male","A"
"137","Admitted","Male","A"
"138","Admitted","Male","A"
"139","Admitted","Male","A"
"140","Admitted","Male","A"
"141","Admitted","Male","A"
"142","Admitted","Male","A"
"143","Admitted","Male","A"
"144","Admitted","Male","A"
"145","Admitted","Male","A"
"146","Admitted","Male","A"
"147","Admitted","Male","A"
"148","Admitted","Male","A"
"149","Admitted","Male","A"
"150","Admitted","Male","A"
"151","Admitted","Male","A"
"152","Admitted","Male","A"
"153","Admitted","Male","A"
"154","Admitted","Male","A"
"155","Admitted","Male","A"
"156","Admitted","Male","A"
"157","Admitted","Male","A"
"158","Admitted","Male","A"
"159","Admitted","Male","A"
"160","Admitted","Male","A"
"161","Admitted","Male","A"
"162","Admitted","Male","A"
"163","Admitted","Male","A"
"164","Admitted","Male","A"
"165","Admitted","Male","A"
"166","Admitted","Male","A"
"167","Admitted","Male","A"
"168","Admitted","Male","A"
"169","Admitted","Male","A"
"170","Admitted","Male","A"
"171","Admitted","Male","A"
"172","Admitted","Male","A"
"173","Admitted","Male","A"
"174","Admitted","Male","A"
"175","Admitted","Male","A"
"176","Admitted","Male","A"
"177","Admitted","Male","A"
"178","Admitted","Male","A"
"179","Admitted","Male","A"
"180","Admitted","Male","A"
"181","Admitted","Male","A"
"182","Admitted","Male","A"
"183","Admitted","Male","A"
"184","Admitted","Male","A"
"185","Admitted","Male","A"
"186","Admitted","Male","A"
"187","Admitted","Male","A"
"188","Admitted","Male","A"
"189","Admitted","Male","A"
"190","Admitted","Male","A"
"191","Admitted","Male","A"
"192","Admitted","Male","A"
"193","Admitted","Male","A"
"194","Admitted","Male","A"
"195","Admitted","Male","A"
"196","Admitted","Male","A"
"197","Admitted","Male","A"
"198","Admitted","Male","A"
"199","Admitted","Male","A"
"200","Admitted","Male","A"
"201","Admitted","Male","A"
"202","Admitted","Male","A"
"203","Admitted","Male","A"
"204","Admitted","Male","A"
"205","Admitted","Male","A"
"206","Admitted","Male","A"
"207","Admitted","Male","A"
"208","Admitted","Male","A"
"209","Admitted","Male","A"
"210","Admitted","Male","A"
"211","Admitted","Male","A"
"212","Admitted","Male","A"
"213","Admitted","Male","A"
"214","Admitted","Male","A"
"215","Admitted","Male","A"
"216","Admitted","Male","A"
"217","Admitted","Male","A"
"218","Admitted","Male","A"
"219","Admitted","Male","A"
"220","Admitted","Male","A"
"221","Admitted","Male","A"
"222","Admitted","Male","A"
"223","Admitted","Male","A"
"224","Admitted","Male","A"
"225","Admitted","Male","A"
"226","Admitted","Male","A"
"227","Admitted","Male","A"
"228","Admitted","Male","A"
"229","Admitted","Male","A"
"230","Admitted","Male","A"
"231","Admitted","Male","A"
"232","Admitted","Male","A"
"233","Admitted","Male","A"
"234","Admitted","Male","A"
"235","Admitted","Male","A"
"236","Admitted","Male","A"
"237","Admitted","Male","A"
"238","Admitted","Male","A"
"239","Admitted","Male","A"
"240","Admitted","Male","A"
"241","Admitted","Male","A"
"242","Admitted","Male","A"
"243","Admitted","Male","A"
"244","Admitted","Male","A"
"245","Admitted","Male","A"
"246","Admitted","Male","A"
"247","Admitted","Male","A"
"248","Admitted","Male","A"
"249","Admitted","Male","A"
"250","Admitted","Male","A"
"251","Admitted","Male","A"
"252","Admitted","Male","A"
"253","Admitted","Male","A"
"254","Admitted","Male","A"
"255","Admitted","Male","A"
"256","Admitted","Male","A"
"257","Admitted","Male","A"
"258","Admitted","Male","A"
"259","Admitted","Male","A"
"260","Admitted","Male","A"
"261","Admitted","Male","A"
"262","Admitted","Male","A"
"263","Admitted","Male","A"
"264","Admitted","Male","A"
"265","Admitted","Male","A"
"266","Admitted","Male","A"
"267","Admitted","Male","A"
"268","Admitted","Male","A"
"269","Admitted","Male","A"
"270","Admitted","Male","A"
"271","Admitted","Male","A"
"272","Admitted","Male","A"
"273","Admitted","Male","A"
"274","Admitted","Male","A"
"275","Admitted","Male","A"
"276","Admitted","Male","A"
"277","Admitted","Male","A"
"278","Admitted","Male","A"
"279","Admitted","Male","A"
"280","Admitted","Male","A"
"281","Admitted","Male","A"
"282","Admitted","Male","A"
"283","Admitted","Male","A"
"284","Admitted","Male","A"
"285","Admitted","Male","A"
"286","Admitted","Male","A"
"287","Admitted","Male","A"
"288","Admitted","Male","A"
"289","Admitted","Male","A"
"290","Admitted","Male","A"
"291","Admitted","Male","A"
"292","Admitted","Male","A"
"293","Admitted","Male","A"
"294","Admitted","Male","A"
"295","Admitted","Male","A"
"296","Admitted","Male","A"
"297","Admitted","Male","A"
"298","Admitted","Male","A"
"299","Admitted","Male","A"
"300","Admitted","Male","A"
"301","Admitted","Male","A"
"302","Admitted","Male","A"
"303","Admitted","Male","A"
"304","Admitted","Male","A"
"305","Admitted","Male","A"
"306","Admitted","Male","A"
"307","Admitted","Male","A"
"308","Admitted","Male","A"
"309","Admitted","Male","A"
"310","Admitted","Male","A"
"311","Admitted","Male","A"
"312","Admitted","Male","A"
"313","Admitted","Male","A"
"314","Admitted","Male","A"
"315","Admitted","Male","A"
"316","Admitted","Male","A"
"317","Admitted","Male","A"
"318","Admitted","Male","A"
"319","Admitted","Male","A"
"320","Admitted","Male","A"
"321","Admitted","Male","A"
"322","Admitted","Male","A"
"323","Admitted","Male","A"
"324","Admitted","Male","A"
"325","Admitted","Male","A"
"326","Admitted","Male","A"
"327","Admitted","Male","A"
"328","Admitted","Male","A"
"329","Admitted","Male","A"
"330","Admitted","Male","A"
"331","Admitted","Male","A"
"332","Admitted","Male","A"
"333","Admitted","Male","A"
"334","Admitted","Male","A"
"335","Admitted","Male","A"
"336","Admitted","Male","A"
"337","Admitted","Male","A"
"338","Admitted","Male","A"
"339","Admitted","Male","A"
"340","Admitted","Male","A"
"341","Admitted","Male","A"
"342","Admitted","Male","A"
"343","Admitted","Male","A"
"344","Admitted","Male","A"
"345","Admitted","Male","A"
"346","Admitted","Male","A"
"347","Admitted","Male","A"
"348","Admitted","Male","A"
"349","Admitted","Male","A"
"350","Admitted","Male","A"
"351","Admitted","Male","A"
"352","Admitted","Male","A"
"353","Admitted","Male","A"
"354","Admitted","Male","A"
"355","Admitted","Male","A"
"356","Admitted","Male","A"
"357","Admitted","Male","A"
"358","Admitted","Male","A"
"359","Admitted","Male","A"
"360","Admitted","Male","A"
"361","Admitted","Male","A"
"362","Admitted","Male","A"
"363","Admitted","Male","A"
"364","Admitted","Male","A"
"365","Admitted","Male","A"
"366","Admitted","Male","A"
"367","Admitted","Male","A"
"368","Admitted","Male","A"
"369","Admitted","Male","A"
"370","Admitted","Male","A"
"371","Admitted","Male","A"
"372","Admitted","Male","A"
"373","Admitted","Male","A"
"374","Admitted","Male","A"
"375","Admitted","Male","A"
"376","Admitted","Male","A"
"377","Admitted","Male","A"
"378","Admitted","Male","A"
"379","Admitted","Male","A"
"380","Admitted","Male","A"
"381","Admitted","Male","A"
"382","Admitted","Male","A"
"383","Admitted","Male","A"
"384","Admitted","Male","A"
"385","Admitted","Male","A"
"386","Admitted","Male","A"
"387","Admitted","Male","A"
"388","Admitted","Male","A"
"389","Admitted","Male","A"
"390","Admitted","Male","A"
"391","Admitted","Male","A"
"392","Admitted","Male","A"
"393","Admitted","Male","A"
"394","Admitted","Male","A"
"395","Admitted","Male","A"
"396","Admitted","Male","A"
"397","Admitted","Male","A"
"398","Admitted","Male","A"
"399","Admitted","Male","A"
"400","Admitted","Male","A"
"401","Admitted","Male","A"
"402","Admitted","Male","A"
"403","Admitted","Male","A"
"404","Admitted","Male","A"
"405","Admitted","Male","A"
"406","Admitted","Male","A"
"407","Admitted","Male","A"
"408","Admitted","Male","A"
"409","Admitted","Male","A"
"410","Admitted","Male","A"
"411","Admitted","Male","A"
"412","Admitted","Male","A"
"413","Admitted","Male","A"
"414","Admitted","Male","A"
"415","Admitted","Male","A"
"416","Admitted","Male","A"
"417","Admitted","Male","A"
"418","Admitted","Male","A"
"419","Admitted","Male","A"
"420","Admitted","Male","A"
"421","Admitted","Male","A"
"422","Admitted","Male","A"
"423","Admitted","Male","A"
"424","Admitted","Male","A"
"425","Admitted","Male","A"
"426","Admitted","Male","A"
"427","Admitted","Male","A"
"428","Admitted","Male","A"
"429","Admitted","Male","A"
"430","Admitted","Male","A"
"431","Admitted","Male","A"
"432","Admitted","Male","A"
"433","Admitted","Male","A"
"434","Admitted","Male","A"
"435","Admitted","Male","A"
"436","Admitted","Male","A"
"437","Admitted","Male","A"
"438","Admitted","Male","A"
"439","Admitted","Male","A"
"440","Admitted","Male","A"
"441","Admitted","Male","A"
"442","Admitted","Male","A"
"443","Admitted","Male","A"
"444","Admitted","Male","A"
"445","Admitted","Male","A"
"446","Admitted","Male","A"
"447","Admitted","Male","A"
"448","Admitted","Male","A"
"449","Admitted","Male","A"
"450","Admitted","Male","A"
"451","Admitted","Male","A"
"452","Admitted","Male","A"
"453","Admitted","Male","A"
"454","Admitted","Male","A"
"455","Admitted","Male","A"
"456","Admitted","Male","A"
"457","Admitted","Male","A"
"458","Admitted","Male","A"
"459","Admitted","Male","A"
"460","Admitted","Male","A"
"461","Admitted","Male","A"
"462","Admitted","Male","A"
"463","Admitted","Male","A"
"464","Admitted","Male","A"
"465","Admitted","Male","A"
"466","Admitted","Male","A"
"467","Admitted","Male","A"
"468","Admitted","Male","A"
"469","Admitted","Male","A"
"470","Admitted","Male","A"
"471","Admitted","Male","A"
"472","Admitted","Male","A"
"473","Admitted","Male","A"
"474","Admitted","Male","A"
"475","Admitted","Male","A"
"476","Admitted","Male","A"
"477","Admitted","Male","A"
"478","Admitted","Male","A"
"479","Admitted","Male","A"
"480","Admitted","Male","A"
"481","Admitted","Male","A"
"482","Admitted","Male","A"
"483","Admitted","Male","A"
"484","Admitted","Male","A"
"485","Admitted","Male","A"
"486","Admitted","Male","A"
"487","Admitted","Male","A"
"488","Admitted","Male","A"
"489","Admitted","Male","A"
"490","Admitted","Male","A"
"491","Admitted","Male","A"
"492","Admitted","Male","A"
"493","Admitted","Male","A"
"494","Admitted","Male","A"
"495","Admitted","Male","A"
"496","Admitted","Male","A"
"497","Admitted","Male","A"
"498","Admitted","Male","A"
"499","Admitted","Male","A"
"500","Admitted","Male","A"
"501","Admitted","Male","A"
"502","Admitted","Male","A"
"503","Admitted","Male","A"
"504","Admitted","Male","A"
"505","Admitted","Male","A"
"506","Admitted","Male","A"
"507","Admitted","Male","A"
"508","Admitted","Male","A"
"509","Admitted","Male","A"
"510","Admitted","Male","A"
"511","Admitted","Male","A"
"512","Admitted","Male","A"
"513","Rejected","Male","A"
"514","Rejected","Male","A"
"515","Rejected","Male","A"
"516","Rejected","Male","A"
"517","Rejected","Male","A"
"518","Rejected","Male","A"
"519","Rejected","Male","A"
"520","Rejected","Male","A"
"521","Rejected","Male","A"
"522","Rejected","Male","A"
"523","Rejected","Male","A"
"524","Rejected","Male","A"
"525","Rejected","Male","A"
"526","Rejected","Male","A"
"527","Rejected","Male","A"
"528","Rejected","Male","A"
"529","Rejected","Male","A"
"530","Rejected","Male","A"
"531","Rejected","Male","A"
"532","Rejected","Male","A"
"533","Rejected","Male","A"
"534","Rejected","Male","A"
"535","Rejected","Male","A"
"536","Rejected","Male","A"
"537","Rejected","Male","A"
"538","Rejected","Male","A"
"539","Rejected","Male","A"
"540","Rejected","Male","A"
"541","Rejected","Male","A"
"542","Rejected","Male","A"
"543","Rejected","Male","A"
"544","Rejected","Male","A"
"545","Rejected","Male","A"
"546","Rejected","Male","A"
"547","Rejected","Male","A"
"548","Rejected","Male","A"
"549","Rejected","Male","A"
"550","Rejected","Male","A"
"551","Rejected","Male","A"
"552","Rejected","Male","A"
"553","Rejected","Male","A"
"554","Rejected","Male","A"
"555","Rejected","Male","A"
"556","Rejected","Male","A"
"557","Rejected","Male","A"
"558","Rejected","Male","A"
"559","Rejected","Male","A"
"560","Rejected","Male","A"
"561","Rejected","Male","A"
"562","Rejected","Male","A"
"563","Rejected","Male","A"
"564","Rejected","Male","A"
"565","Rejected","Male","A"
"566","Rejected","Male","A"
"567","Rejected","Male","A"
"568","Rejected","Male","A"
"569","Rejected","Male","A"
"570","Rejected","Male","A"
"571","Rejected","Male","A"
"572","Rejected","Male","A"
"573","Rejected","Male","A"
"574","Rejected","Male","A"
"575","Rejected","Male","A"
"576","Rejected","Male","A"
"577","Rejected","Male","A"
"578","Rejected","Male","A"
"579","Rejected","Male","A"
"580","Rejected","Male","A"
"581","Rejected","Male","A"
"582","Rejected","Male","A"
"583","Rejected","Male","A"
"584","Rejected","Male","A"
"585","Rejected","Male","A"
"586","Rejected","Male","A"
"587","Rejected","Male","A"
"588","Rejected","Male","A"
"589","Rejected","Male","A"
"590","Rejected","Male","A"
"591","Rejected","Male","A"
"592","Rejected","Male","A"
"593","Rejected","Male","A"
"594","Rejected","Male","A"
"595","Rejected","Male","A"
"596","Rejected","Male","A"
"597","Rejected","Male","A"
"598","Rejected","Male","A"
"599","Rejected","Male","A"
"600","Rejected","Male","A"
"601","Rejected","Male","A"
"602","Rejected","Male","A"
"603","Rejected","Male","A"
"604","Rejected","Male","A"
"605","Rejected","Male","A"
"606","Rejected","Male","A"
"607","Rejected","Male","A"
"608","Rejected","Male","A"
"609","Rejected","Male","A"
"610","Rejected","Male","A"
"611","Rejected","Male","A"
"612","Rejected","Male","A"
"613","Rejected","Male","A"
"614","Rejected","Male","A"
"615","Rejected","Male","A"
"616","Rejected","Male","A"
"617","Rejected","Male","A"
"618","Rejected","Male","A"
"619","Rejected","Male","A"
"620","Rejected","Male","A"
"621","Rejected","Male","A"
"622","Rejected","Male","A"
"623","Rejected","Male","A"
"624","Rejected","Male","A"
"625","Rejected","Male","A"
"626","Rejected","Male","A"
"627","Rejected","Male","A"
"628","Rejected","Male","A"
"629","Rejected","Male","A"
"630","Rejected","Male","A"
"631","Rejected","Male","A"
"632","Rejected","Male","A"
"633","Rejected","Male","A"
"634","Rejected","Male","A"
"635","Rejected","Male","A"
"636","Rejected","Male","A"
"637","Rejected","Male","A"
"638","Rejected","Male","A"
"639","Rejected","Male","A"
"640","Rejected","Male","A"
"641","Rejected","Male","A"
"642","Rejected","Male","A"
"643","Rejected","Male","A"
"644","Rejected","Male","A"
"645","Rejected","Male","A"
"646","Rejected","Male","A"
"647","Rejected","Male","A"
"648","Rejected","Male","A"
"649","Rejected","Male","A"
"650","Rejected","Male","A"
"651","Rejected","Male","A"
"652","Rejected","Male","A"
"653","Rejected","Male","A"
"654","Rejected","Male","A"
"655","Rejected","Male","A"
"656","Rejected","Male","A"
"657","Rejected","Male","A"
"658","Rejected","Male","A"
"659","Rejected","Male","A"
"660","Rejected","Male","A"
"661","Rejected","Male","A"
"662","Rejected","Male","A"
"663","Rejected","Male","A"
"664","Rejected","Male","A"
"665","Rejected","Male","A"
"666","Rejected","Male","A"
"667","Rejected","Male","A"
"668","Rejected","Male","A"
"669","Rejected","Male","A"
"670","Rejected","Male","A"
"671","Rejected","Male","A"
"672","Rejected","Male","A"
"673","Rejected","Male","A"
"674","Rejected","Male","A"
"675","Rejected","Male","A"
"676","Rejected","Male","A"
"677","Rejected","Male","A"
"678","Rejected","Male","A"
"679","Rejected","Male","A"
"680","Rejected","Male","A"
"681","Rejected","Male","A"
"682","Rejected","Male","A"
"683","Rejected","Male","A"
"684","Rejected","Male","A"
"685","Rejected","Male","A"
"686","Rejected","Male","A"
"687","Rejected","Male","A"
"688","Rejected","Male","A"
"689","Rejected","Male","A"
"690","Rejected","Male","A"
"691","Rejected","Male","A"
"692","Rejected","Male","A"
"693","Rejected","Male","A"
"694","Rejected","Male","A"
"695","Rejected","Male","A"
"696","Rejected","Male","A"
"697","Rejected","Male","A"
"698","Rejected","Male","A"
"699","Rejected","Male","A"
"700","Rejected","Male","A"
"701","Rejected","Male","A"
"702","Rejected","Male","A"
"703","Rejected","Male","A"
"704","Rejected","Male","A"
"705","Rejected","Male","A"
"706","Rejected","Male","A"
"707","Rejected","Male","A"
"708","Rejected","Male","A"
"709","Rejected","Male","A"
"710","Rejected","Male","A"
"711","Rejected","Male","A"
"712","Rejected","Male","A"
"713","Rejected","Male","A"
"714","Rejected","Male","A"
"715","Rejected","Male","A"
"716","Rejected","Male","A"
"717","Rejected","Male","A"
"718","Rejected","Male","A"
"719","Rejected","Male","A"
"720","Rejected","Male","A"
"721","Rejected","Male","A"
"722","Rejected","Male","A"
"723","Rejected","Male","A"
"724","Rejected","Male","A"
"725","Rejected","Male","A"
"726","Rejected","Male","A"
"727","Rejected","Male","A"
"728","Rejected","Male","A"
"729","Rejected","Male","A"
"730","Rejected","Male","A"
"731","Rejected","Male","A"
"732","Rejected","Male","A"
"733","Rejected","Male","A"
"734","Rejected","Male","A"
"735","Rejected","Male","A"
"736","Rejected","Male","A"
"737","Rejected","Male","A"
"738","Rejected","Male","A"
"739","Rejected","Male","A"
"740","Rejected","Male","A"
"741","Rejected","Male","A"
"742","Rejected","Male","A"
"743","Rejected","Male","A"
"744","Rejected","Male","A"
"745","Rejected","Male","A"
"746","Rejected","Male","A"
"747","Rejected","Male","A"
"748","Rejected","Male","A"
"749","Rejected","Male","A"
"750","Rejected","Male","A"
"751","Rejected","Male","A"
"752","Rejected","Male","A"
"753","Rejected","Male","A"
"754","Rejected","Male","A"
"755","Rejected","Male","A"
"756","Rejected","Male","A"
"757","Rejected","Male","A"
"758","Rejected","Male","A"
"759","Rejected","Male","A"
"760","Rejected","Male","A"
"761","Rejected","Male","A"
"762","Rejected","Male","A"
"763","Rejected","Male","A"
"764","Rejected","Male","A"
"765","Rejected","Male","A"
"766","Rejected","Male","A"
"767","Rejected","Male","A"
"768","Rejected","Male","A"
"769","Rejected","Male","A"
"770","Rejected","Male","A"
"771","Rejected","Male","A"
"772","Rejected","Male","A"
"773","Rejected","Male","A"
"774","Rejected","Male","A"
"775","Rejected","Male","A"
"776","Rejected","Male","A"
"777","Rejected","Male","A"
"778","Rejected","Male","A"
"779","Rejected","Male","A"
"780","Rejected","Male","A"
"781","Rejected","Male","A"
"782","Rejected","Male","A"
"783","Rejected","Male","A"
"784","Rejected","Male","A"
"785","Rejected","Male","A"
"786","Rejected","Male","A"
"787","Rejected","Male","A"
"788","Rejected","Male","A"
"789","Rejected","Male","A"
"790","Rejected","Male","A"
"791","Rejected","Male","A"
"792","Rejected","Male","A"
"793","Rejected","Male","A"
"794","Rejected","Male","A"
"795","Rejected","Male","A"
"796","Rejected","Male","A"
"797","Rejected","Male","A"
"798","Rejected","Male","A"
"799","Rejected","Male","A"
"800","Rejected","Male","A"
"801","Rejected","Male","A"
"802","Rejected","Male","A"
"803","Rejected","Male","A"
"804","Rejected","Male","A"
"805","Rejected","Male","A"
"806","Rejected","Male","A"
"807","Rejected","Male","A"
"808","Rejected","Male","A"
"809","Rejected","Male","A"
"810","Rejected","Male","A"
"811","Rejected","Male","A"
"812","Rejected","Male","A"
"813","Rejected","Male","A"
"814","Rejected","Male","A"
"815","Rejected","Male","A"
"816","Rejected","Male","A"
"817","Rejected","Male","A"
"818","Rejected","Male","A"
"819","Rejected","Male","A"
"820","Rejected","Male","A"
"821","Rejected","Male","A"
"822","Rejected","Male","A"
"823","Rejected","Male","A"
"824","Rejected","Male","A"
"825","Rejected","Male","A"
"826","Admitted","Female","A"
"827","Admitted","Female","A"
"828","Admitted","Female","A"
"829","Admitted","Female","A"
"830","Admitted","Female","A"
"831","Admitted","Female","A"
"832","Admitted","Female","A"
"833","Admitted","Female","A"
"834","Admitted","Female","A"
"835","Admitted","Female","A"
"836","Admitted","Female","A"
"837","Admitted","Female","A"
"838","Admitted","Female","A"
"839","Admitted","Female","A"
"840","Admitted","Female","A"
"841","Admitted","Female","A"
"842","Admitted","Female","A"
"843","Admitted","Female","A"
"844","Admitted","Female","A"
"845","Admitted","Female","A"
"846","Admitted","Female","A"
"847","Admitted","Female","A"
"848","Admitted","Female","A"
"849","Admitted","Female","A"
"850","Admitted","Female","A"
"851","Admitted","Female","A"
"852","Admitted","Female","A"
"853","Admitted","Female","A"
"854","Admitted","Female","A"
"855","Admitted","Female","A"
"856","Admitted","Female","A"
"857","Admitted","Female","A"
"858","Admitted","Female","A"
"859","Admitted","Female","A"
"860","Admitted","Female","A"
"861","Admitted","Female","A"
"862","Admitted","Female","A"
"863","Admitted","Female","A"
"864","Admitted","Female","A"
"865","Admitted","Female","A"
"866","Admitted","Female","A"
"867","Admitted","Female","A"
"868","Admitted","Female","A"
"869","Admitted","Female","A"
"870","Admitted","Female","A"
"871","Admitted","Female","A"
"872","Admitted","Female","A"
"873","Admitted","Female","A"
"874","Admitted","Female","A"
"875","Admitted","Female","A"
"876","Admitted","Female","A"
"877","Admitted","Female","A"
"878","Admitted","Female","A"
"879","Admitted","Female","A"
"880","Admitted","Female","A"
"881","Admitted","Female","A"
"882","Admitted","Female","A"
"883","Admitted","Female","A"
"884","Admitted","Female","A"
"885","Admitted","Female","A"
"886","Admitted","Female","A"
"887","Admitted","Female","A"
"888","Admitted","Female","A"
"889","Admitted","Female","A"
"890","Admitted","Female","A"
"891","Admitted","Female","A"
"892","Admitted","Female","A"
"893","Admitted","Female","A"
"894","Admitted","Female","A"
"895","Admitted","Female","A"
"896","Admitted","Female","A"
"897","Admitted","Female","A"
"898","Admitted","Female","A"
"899","Admitted","Female","A"
"900","Admitted","Female","A"
"901","Admitted","Female","A"
"902","Admitted","Female","A"
"903","Admitted","Female","A"
"904","Admitted","Female","A"
"905","Admitted","Female","A"
"906","Admitted","Female","A"
"907","Admitted","Female","A"
"908","Admitted","Female","A"
"909","Admitted","Female","A"
"910","Admitted","Female","A"
"911","Admitted","Female","A"
"912","Admitted","Female","A"
"913","Admitted","Female","A"
"914","Admitted","Female","A"
"915","Rejected","Female","A"
"916","Rejected","Female","A"
"917","Rejected","Female","A"
"918","Rejected","Female","A"
"919","Rejected","Female","A"
"920","Rejected","Female","A"
"921","Rejected","Female","A"
"922","Rejected","Female","A"
"923","Rejected","Female","A"
"924","Rejected","Female","A"
"925","Rejected","Female","A"
"926","Rejected","Female","A"
"927","Rejected","Female","A"
"928","Rejected","Female","A"
"929","Rejected","Female","A"
"930","Rejected","Female","A"
"931","Rejected","Female","A"
"932","Rejected","Female","A"
"933","Rejected","Female","A"
"934","Admitted","Male","B"
"935","Admitted","Male","B"
"936","Admitted","Male","B"
"937","Admitted","Male","B"
"938","Admitted","Male","B"
"939","Admitted","Male","B"
"940","Admitted","Male","B"
"941","Admitted","Male","B"
"942","Admitted","Male","B"
"943","Admitted","Male","B"
"944","Admitted","Male","B"
"945","Admitted","Male","B"
"946","Admitted","Male","B"
"947","Admitted","Male","B"
"948","Admitted","Male","B"
"949","Admitted","Male","B"
"950","Admitted","Male","B"
"951","Admitted","Male","B"
"952","Admitted","Male","B"
"953","Admitted","Male","B"
"954","Admitted","Male","B"
"955","Admitted","Male","B"
"956","Admitted","Male","B"
"957","Admitted","Male","B"
"958","Admitted","Male","B"
"959","Admitted","Male","B"
"960","Admitted","Male","B"
"961","Admitted","Male","B"
"962","Admitted","Male","B"
"963","Admitted","Male","B"
"964","Admitted","Male","B"
"965","Admitted","Male","B"
"966","Admitted","Male","B"
"967","Admitted","Male","B"
"968","Admitted","Male","B"
"969","Admitted","Male","B"
"970","Admitted","Male","B"
"971","Admitted","Male","B"
"972","Admitted","Male","B"
"973","Admitted","Male","B"
"974","Admitted","Male","B"
"975","Admitted","Male","B"
"976","Admitted","Male","B"
"977","Admitted","Male","B"
"978","Admitted","Male","B"
"979","Admitted","Male","B"
"980","Admitted","Male","B"
"981","Admitted","Male","B"
"982","Admitted","Male","B"
"983","Admitted","Male","B"
"984","Admitted","Male","B"
"985","Admitted","Male","B"
"986","Admitted","Male","B"
"987","Admitted","Male","B"
"988","Admitted","Male","B"
"989","Admitted","Male","B"
"990","Admitted","Male","B"
"991","Admitted","Male","B"
"992","Admitted","Male","B"
"993","Admitted","Male","B"
"994","Admitted","Male","B"
"995","Admitted","Male","B"
"996","Admitted","Male","B"
"997","Admitted","Male","B"
"998","Admitted","Male","B"
